event,age,gender,time,time_sec
Back,20-24,M,0:31.66,
Back,20-24,M,0:36.75,
Back,20-24,M,0:39.97,
Back,20-24,M,0:34.57,
Back,20-24,M,0:34.62,
Back,20-24,M,0:38.57,
Back,20-24,M,0:39.52,
Back,20-24,M,0:40.62,
Back,20-24,M,0:41.47,
Back,20-24,M,0:50.25,
Back,20-24,M,0:54.83,
Back,25-29,M,0:44.52,
Back,25-29,M,0:45.13,
Back,25-29,M,0:45.96,
Back,25-29,M,0:46.66,
Back,25-29,M,0:49.39,
Back,25-29,M,0:53.23,
Back,25-29,M,0:54.07,
Back,25-29,M,0:55.93,
Back,20-24,F,0:45.09,
Back,20-24,F,0:46.93,
Back,20-24,F,0:48.50,
Back,20-24,F,0:50.23,
Back,20-24,F,0:50.54,
Back,20-24,F,0:43.74,
Back,25-29,F,0:45.63,
Back,25-29,F,0:46.85,
Back,25-29,F,0:47.15,
Back,25-29,F,0:54.54,
Back,25-29,F,1:02.50,
Back,25-29,F,1:13.78,
Breast,20-24,M,0:36.91,
Breast,20-24,M,0:41.40,
Breast,20-24,M,0:41.64,
Breast,20-24,M,0:41.85,
Breast,20-24,M,0:42.36,
Breast,20-24,M,0:34.99,
Breast,20-24,M,0:37.30,
Breast,20-24,M,0:38.27,
Breast,25-29,M,0:38.92,
Breast,25-29,M,0:39.94,
Breast,25-29,M,0:41.39,
Breast,25-29,M,0:43.66,
Breast,25-29,M,0:44.10,
Breast,25-29,M,0:44.27,
Breast,25-29,M,0:46.78,
Breast,25-29,M,0:47.77,
Breast,25-29,M,0:51.63,
Breast,25-29,M,0:53.62,
Breast,25-29,M,1:06.43,
Breast,20-24,F,0:42.04,
Breast,20-24,F,0:45.14,
Breast,20-24,F,0:49.66,
Breast,20-24,F,0:52.26,
Breast,20-24,F,0:52.66,
Breast,20-24,F,0:53.06,
Breast,20-24,F,1:07.21,
Breast,25-29,F,0:42.84,
Breast,25-29,F,0:47.42,
Breast,25-29,F,0:48.32,
Breast,25-29,F,0:48.73,
Breast,25-29,F,0:52.02,
Breast,25-29,F,0:53.69,
Breast,25-29,F,0:54.05,
Breast,25-29,F,0:55.90,
Breast,25-29,F,0:56.50,
Breast,25-29,F,0:58.22,
Breast,25-29,F,1:06.67,
Fly,20-24,M,0:29.20,
Fly,20-24,M,0:34.82,
Fly,20-24,M,0:35.79,
Fly,20-24,M,0:33.09,
Fly,20-24,M,0:35.35,
Fly,20-24,M,0:35.58,
Fly,20-24,M,0:44.70,
Fly,20-24,M,0:51.17,
Fly,20-24,M,0:32.33,
Fly,20-24,M,0:32.39,
Fly,25-29,M,0:34.76,
Fly,25-29,M,0:36.02,
Fly,25-29,M,0:40.33,
Fly,25-29,M,0:42.65,
Fly,25-29,M,0:42.86,
Fly,25-29,M,0:44.56,
Fly,25-29,M,0:44.64,
Fly,25-29,M,0:44.83,
Fly,25-29,M,0:47.15,
Fly,25-29,M,0:53.32,
Fly,20-24,F,0:36.16,
Fly,20-24,F,0:36.73,
Fly,20-24,F,0:38.12,
Fly,20-24,F,0:39.84,
Fly,20-24,F,0:40.22,
Fly,20-24,F,0:44.66,
Fly,20-24,F,0:47.69,
Fly,20-24,F,0:52.05,
Fly,25-29,F,0:40.75,
Fly,25-29,F,0:42.73,
Fly,25-29,F,0:45.32,
Fly,25-29,F,0:46.90,
Fly,25-29,F,0:47.50,
Fly,25-29,F,0:48.74,
Fly,25-29,F,0:50.01,
Fly,25-29,F,0:50.58,
Fly,25-29,F,0:51.60,
