event,age,gender,time,time_sec,meet
Back,20-24,M,00:31.7,31.66,A
Back,20-24,M,00:36.7,36.75,A
Back,20-24,M,00:40.0,39.97,A
Back,20-24,M,00:34.6,34.57,A
Back,20-24,M,00:34.6,34.62,A
Back,20-24,M,00:38.6,38.57,A
Back,20-24,M,00:39.5,39.52,A
Back,20-24,M,00:40.6,40.62,A
Back,20-24,M,00:41.5,41.47,A
Back,20-24,M,00:50.2,50.25,A
Back,20-24,M,00:54.8,54.83,A
Back,25-29,M,00:44.5,44.52,A
Back,25-29,M,00:45.1,45.13,A
Back,25-29,M,00:46.0,45.96,A
Back,25-29,M,00:46.7,46.66,A
Back,25-29,M,00:49.4,49.39,A
Back,25-29,M,00:53.2,53.23,A
Back,25-29,M,00:54.1,54.07,A
Back,25-29,M,00:55.9,55.93,A
Back,20-24,F,00:45.1,45.09,A
Back,20-24,F,00:46.9,46.93,A
Back,20-24,F,00:48.5,48.5,A
Back,20-24,F,00:50.2,50.23,A
Back,20-24,F,00:50.5,50.54,A
Back,20-24,F,00:43.7,43.74,A
Back,25-29,F,00:45.6,45.63,A
Back,25-29,F,00:46.8,46.85,A
Back,25-29,F,00:47.1,47.15,A
Back,25-29,F,00:54.5,54.54,A
Back,25-29,F,01:02.5,62.5,A
Back,25-29,F,01:13.8,73.78,A
Breast,20-24,M,00:36.9,36.91,A
Breast,20-24,M,00:41.4,41.4,A
Breast,20-24,M,00:41.6,41.64,A
Breast,20-24,M,00:41.8,41.85,A
Breast,20-24,M,00:42.4,42.36,A
Breast,20-24,M,00:35.0,34.99,A
Breast,20-24,M,00:37.3,37.3,A
Breast,20-24,M,00:38.3,38.27,A
Breast,25-29,M,00:38.9,38.92,A
Breast,25-29,M,00:39.9,39.94,A
Breast,25-29,M,00:41.4,41.39,A
Breast,25-29,M,00:43.7,43.66,A
Breast,25-29,M,00:44.1,44.1,A
Breast,25-29,M,00:44.3,44.27,A
Breast,25-29,M,00:46.8,46.78,A
Breast,25-29,M,00:47.8,47.77,A
Breast,25-29,M,00:51.6,51.63,A
Breast,25-29,M,00:53.6,53.62,A
Breast,25-29,M,01:06.4,66.43,A
Breast,20-24,F,00:42.0,42.04,A
Breast,20-24,F,00:45.1,45.14,A
Breast,20-24,F,00:49.7,49.66,A
Breast,20-24,F,00:52.3,52.26,A
Breast,20-24,F,00:52.7,52.66,A
Breast,20-24,F,00:53.1,53.06,A
Breast,20-24,F,01:07.2,67.21,A
Breast,25-29,F,00:42.8,42.84,A
Breast,25-29,F,00:47.4,47.42,A
Breast,25-29,F,00:48.3,48.32,A
Breast,25-29,F,00:48.7,48.73,A
Breast,25-29,F,00:52.0,52.02,A
Breast,25-29,F,00:53.7,53.69,A
Breast,25-29,F,00:54.1,54.05,A
Breast,25-29,F,00:55.9,55.9,A
Breast,25-29,F,00:56.5,56.5,A
Breast,25-29,F,00:58.2,58.22,A
Breast,25-29,F,01:06.7,66.67,A
Fly,20-24,M,00:29.2,29.2,A
Fly,20-24,M,00:34.8,34.82,A
Fly,20-24,M,00:35.8,35.79,A
Fly,20-24,M,00:33.1,33.09,A
Fly,20-24,M,00:35.3,35.35,A
Fly,20-24,M,00:35.6,35.58,A
Fly,20-24,M,00:44.7,44.7,A
Fly,20-24,M,00:51.2,51.17,A
Fly,20-24,M,00:32.3,32.33,A
Fly,20-24,M,00:32.4,32.39,A
Fly,25-29,M,00:34.8,34.76,A
Fly,25-29,M,00:36.0,36.02,A
Fly,25-29,M,00:40.3,40.33,A
Fly,25-29,M,00:42.7,42.65,A
Fly,25-29,M,00:42.9,42.86,A
Fly,25-29,M,00:44.6,44.56,A
Fly,25-29,M,00:44.6,44.64,A
Fly,25-29,M,00:44.8,44.83,A
Fly,25-29,M,00:47.1,47.15,A
Fly,25-29,M,00:53.3,53.32,A
Fly,20-24,F,00:36.2,36.16,A
Fly,20-24,F,00:36.7,36.73,A
Fly,20-24,F,00:38.1,38.12,A
Fly,20-24,F,00:39.8,39.84,A
Fly,20-24,F,00:40.2,40.22,A
Fly,20-24,F,00:44.7,44.66,A
Fly,20-24,F,00:47.7,47.69,A
Fly,20-24,F,00:52.0,52.05,A
Fly,25-29,F,00:40.8,40.75,A
Fly,25-29,F,00:42.7,42.73,A
Fly,25-29,F,00:45.3,45.32,A
Fly,25-29,F,00:46.9,46.9,A
Fly,25-29,F,00:47.5,47.5,A
Fly,25-29,F,00:48.7,48.74,A
Fly,25-29,F,00:50.0,50.01,A
Fly,25-29,F,00:50.6,50.58,A
Fly,25-29,F,00:51.6,51.6,A
