age,gender,time
20-24,M,0:27'97
20-24,M,0:29'70
20-24,M,0:31'63
20-24,M,0:31'68
20-24,M,0:32'75
20-24,M,0:32'82
20-24,M,0:32'88
20-24,M,0:34'27
20-24,M,0:34'40
20-24,M,0:34'51
20-24,M,0:35'00
20-24,M,0:36'62
20-24,M,0:38'00
20-24,M,0:38'13
20-24,M,0:38'93
25-29,M,0:30'73
25-29,M,0:30'93
25-29,M,0:31'06
25-29,M,0:31'94
25-29,M,0:32'17
25-29,M,0:32'44
25-29,M,0:32'89
25-29,M,0:34'09
25-29,M,0:35'30
25-29,M,0:35'78
25-29,M,0:36'58
25-29,M,0:36'71
25-29,M,0:36'81
25-29,M,0:37'31
25-29,M,0:37'47
25-29,M,0:37'84
25-29,M,0:39'07
20-24,F,0:35'06
20-24,F,0:35'66
20-24,F,0:36'07
20-24,F,0:37'25
20-24,F,0:38'95
20-24,F,0:39'25
20-24,F,0:39'39
20-24,F,0:39'95
20-24,F,0:40'56
20-24,F,0:40'87
20-24,F,0:41'72
20-24,F,0:43'98
20-24,F,0:44'49
20-24,F,0:46'34
20-24,F,0:46'54
20-24,F,0:49'89
20-24,F,0:50'02
20-24,F,0:51'58
20-24,F,0:54'95
20-24,F,0:57'43
25-29,F,0:34'89
25-30,F,0:37'31
25-31,F,0:38'90
25-32,F,0:40'12
25-33,F,0:40'17
25-34,F,0:40'21
25-35,F,0:40'72
25-36,F,0:40'87
25-37,F,0:40'88
25-38,F,0:41'08
25-39,F,0:42'22
25-40,F,0:42'24
25-41,F,0:42'24
25-42,F,0:42'72
25-43,F,0:42'79
25-44,F,0:43'02
25-45,F,0:43'56
25-46,F,0:43'98
25-47,F,0:44'38
25-48,F,0:44'39
25-49,F,0:44'91
25-50,F,0:45'43
25-51,F,0:46'09
25-52,F,0:46'20
25-53,F,0:46'55
25-54,F,0:49'22
