event,age,gender,time,time_sec
freestyle,20-24,M,0:27'97,27.97
freestyle,20-24,M,0:29'70,29.7
freestyle,20-24,M,0:31'63,31.63
freestyle,20-24,M,0:31'68,31.68
freestyle,20-24,M,0:32'75,32.75
freestyle,20-24,M,0:32'82,32.82
freestyle,20-24,M,0:32'88,32.88
freestyle,20-24,M,0:34'27,34.27
freestyle,20-24,M,0:34'40,34.4
freestyle,20-24,M,0:34'51,34.51
freestyle,20-24,M,0:35'00,35
freestyle,20-24,M,0:36'62,36.62
freestyle,20-24,M,0:38'00,38
freestyle,20-24,M,0:38'13,38.13
freestyle,20-24,M,0:38'93,38.93
freestyle,25-29,M,0:30'73,30.73
freestyle,25-29,M,0:30'93,30.93
freestyle,25-29,M,0:31'06,31.06
freestyle,25-29,M,0:31'94,31.94
freestyle,25-29,M,0:32'17,32.17
freestyle,25-29,M,0:32'44,32.44
freestyle,25-29,M,0:32'89,32.89
freestyle,25-29,M,0:34'09,34.09
freestyle,25-29,M,0:35'30,35.3
freestyle,25-29,M,0:35'78,35.78
freestyle,25-29,M,0:36'58,36.58
freestyle,25-29,M,0:36'71,36.71
freestyle,25-29,M,0:36'81,36.81
freestyle,25-29,M,0:37'31,37.31
freestyle,25-29,M,0:37'47,37.47
freestyle,25-29,M,0:37'84,37.84
freestyle,25-29,M,0:39'07,39.07
freestyle,20-24,F,0:35'06,35.06
freestyle,20-24,F,0:35'66,35.66
freestyle,20-24,F,0:36'07,36.07
freestyle,20-24,F,0:37'25,37.25
freestyle,20-24,F,0:38'95,38.95
freestyle,20-24,F,0:39'25,39.25
freestyle,20-24,F,0:39'39,39.39
freestyle,20-24,F,0:39'95,39.95
freestyle,20-24,F,0:40'56,40.56
freestyle,20-24,F,0:40'87,40.87
freestyle,20-24,F,0:41'72,41.72
freestyle,20-24,F,0:43'98,43.98
freestyle,20-24,F,0:44'49,44.49
freestyle,20-24,F,0:46'34,46.34
freestyle,20-24,F,0:46'54,46.54
freestyle,20-24,F,0:49'89,49.89
freestyle,20-24,F,0:50'02,50.02
freestyle,20-24,F,0:51'58,51.58
freestyle,20-24,F,0:54'95,54.95
freestyle,20-24,F,0:57'43,57.43
freestyle,25-29,F,0:34'89,34.89
freestyle,25-30,F,0:37'31,37.31
freestyle,25-31,F,0:38'90,38.9
freestyle,25-32,F,0:40'12,40.12
freestyle,25-33,F,0:40'17,40.17
freestyle,25-34,F,0:40'21,40.21
freestyle,25-35,F,0:40'72,40.72
freestyle,25-36,F,0:40'87,40.87
freestyle,25-37,F,0:40'88,40.88
freestyle,25-38,F,0:41'08,41.08
freestyle,25-39,F,0:42'22,42.22
freestyle,25-40,F,0:42'24,42.24
freestyle,25-41,F,0:42'24,42.24
freestyle,25-42,F,0:42'72,42.72
freestyle,25-43,F,0:42'79,42.79
freestyle,25-44,F,0:43'02,43.02
freestyle,25-45,F,0:43'56,43.56
freestyle,25-46,F,0:43'98,43.98
freestyle,25-47,F,0:44'38,44.38
freestyle,25-48,F,0:44'39,44.39
freestyle,25-49,F,0:44'91,44.91
freestyle,25-50,F,0:45'43,45.43
freestyle,25-51,F,0:46'09,46.09
freestyle,25-52,F,0:46'20,46.2
freestyle,25-53,F,0:46'55,46.55
freestyle,25-54,F,0:49'22,49.22
